date,Team_1,Team_2,Winner,Margin,Ground
18-Aug-10,Ireland,Netherlands,Ireland,9 wickets,Dublin
"Aug 19-20, 2010",Sri Lanka,New Zealand,no result,,Dambulla
22-Aug-10,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla
25-Aug-10,India,New Zealand,India,105 runs,Dambulla
28-Aug-10,Sri Lanka,India,Sri Lanka,74 runs,Dambulla
6-Sep-10,Canada,Ireland,Canada,4 runs,Toronto
7-Sep-10,Canada,Ireland,Ireland,92 runs,Toronto
10-Sep-10,England,Pakistan,England,24 runs,Chester-le-Street
12-Sep-10,England,Pakistan,England,4 wickets,Leeds
17-Sep-10,England,Pakistan,Pakistan,23 runs,The Oval
20-Sep-10,England,Pakistan,Pakistan,38 runs,Lord's
22-Sep-10,England,Pakistan,England,121 runs,Southampton
26-Sep-10,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare
28-Sep-10,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare
30-Sep-10,Zimbabwe,Ireland,Ireland,20 runs,Harare
5-Oct-10,Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka
7-Oct-10,Kenya,Afghanistan,Kenya,92 runs,Nairobi (Gym)
9-Oct-10,Kenya,Afghanistan,Afghanistan,6 wickets,Nairobi (Gym)
11-Oct-10,Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka
11-Oct-10,Kenya,Afghanistan,Kenya,8 wickets,Nairobi (Gym)
14-Oct-10,Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka
15-Oct-10,South Africa,Zimbabwe,South Africa,64 runs,Bloemfontein
17-Oct-10,Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka
17-Oct-10,South Africa,Zimbabwe,South Africa,8 wickets,Potchefstroom
20-Oct-10,India,Australia,India,5 wickets,Visakhapatnam
22-Oct-10,South Africa,Zimbabwe,South Africa,272 runs,Benoni
29-Oct-10,Pakistan,South Africa,South Africa,8 wickets,Abu Dhabi
31-Oct-10,Pakistan,South Africa,Pakistan,1 wicket,Abu Dhabi
2-Nov-10,Pakistan,South Africa,South Africa,2 runs,Dubai (DSC)
3-Nov-10,Australia,Sri Lanka,Sri Lanka,1 wicket,Melbourne
5-Nov-10,Australia,Sri Lanka,Sri Lanka,29 runs,Sydney
5-Nov-10,Pakistan,South Africa,Pakistan,1 wicket,Dubai (DSC)
7-Nov-10,Australia,Sri Lanka,Australia,8 wickets,Brisbane
8-Nov-10,Pakistan,South Africa,South Africa,57 runs,Dubai (DSC)
28-Nov-10,India,New Zealand,India,40 runs,Guwahati
1-Dec-10,Bangladesh,Zimbabwe,Zimbabwe,9 runs,Dhaka
1-Dec-10,India,New Zealand,India,8 wickets,Jaipur
3-Dec-10,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka
4-Dec-10,India,New Zealand,India,9 wickets,Vadodara
6-Dec-10,Bangladesh,Zimbabwe,Bangladesh,65 runs,Dhaka
7-Dec-10,India,New Zealand,India,5 wickets,Bengaluru
10-Dec-10,India,New Zealand,India,8 wickets,Chennai
12-Dec-10,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chittagong
12-Jan-11,South Africa,India,South Africa,135 runs,Durban
15-Jan-11,South Africa,India,India,1 run,Johannesburg
16-Jan-11,Australia,England,Australia,6 wickets,Melbourne
18-Jan-11,South Africa,India,India,2 wickets,Cape Town
21-Jan-11,Australia,England,Australia,46 runs,Hobart
21-Jan-11,South Africa,India,South Africa,48 runs,Port Elizabeth
22-Jan-11,New Zealand,Pakistan,New Zealand,9 wickets,Wellington
23-Jan-11,Australia,England,Australia,4 wickets,Sydney
23-Jan-11,South Africa,India,South Africa,33 runs,Centurion
26-Jan-11,New Zealand,Pakistan,no result,,Queenstown
26-Jan-11,Australia,England,England,21 runs,Adelaide
29-Jan-11,New Zealand,Pakistan,Pakistan,43 runs,Christchurch
30-Jan-11,Australia,England,Australia,51 runs,Brisbane
31-Jan-11,Sri Lanka,West Indies,no result,,Colombo (SSC)
1-Feb-11,New Zealand,Pakistan,Pakistan,2 wickets,Napier
2-Feb-11,Australia,England,Australia,2 wickets,Sydney
3-Feb-11,New Zealand,Pakistan,Pakistan,41 runs,Hamilton
3-Feb-11,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC)
5-Feb-11,New Zealand,Pakistan,New Zealand,57 runs,Auckland
6-Feb-11,Australia,England,Australia,57 runs,Perth
6-Feb-11,Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC)
19-Feb-11,Bangladesh,India,India,87 runs,Dhaka
20-Feb-11,Kenya,New Zealand,New Zealand,10 wickets,Chennai
20-Feb-11,Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota
21-Feb-11,Australia,Zimbabwe,Australia,91 runs,Ahmedabad
22-Feb-11,England,Netherlands,England,6 wickets,Nagpur
23-Feb-11,Kenya,Pakistan,Pakistan,205 runs,Hambantota
24-Feb-11,South Africa,West Indies,South Africa,7 wickets,Delhi
25-Feb-11,Australia,New Zealand,Australia,7 wickets,Nagpur
25-Feb-11,Bangladesh,Ireland,Bangladesh,27 runs,Dhaka
26-Feb-11,Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS)
27-Feb-11,India,England,tied,,Bengaluru
28-Feb-11,Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur
28-Feb-11,Netherlands,West Indies,West Indies,215 runs,Delhi
1-Mar-11,Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS)
2-Mar-11,England,Ireland,Ireland,3 wickets,Bengaluru
3-Mar-11,Netherlands,South Africa,South Africa,231 runs,Mohali
3-Mar-11,Canada,Pakistan,Pakistan,46 runs,Colombo (RPS)
4-Mar-11,New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad
4-Mar-11,Bangladesh,West Indies,West Indies,9 wickets,Dhaka
5-Mar-11,Sri Lanka,Australia,no result,,Colombo (RPS)
6-Mar-11,England,South Africa,England,6 runs,Chennai
6-Mar-11,India,Ireland,India,5 wickets,Bengaluru
7-Mar-11,Canada,Kenya,Canada,5 wickets,Delhi
8-Mar-11,New Zealand,Pakistan,New Zealand,110 runs,Pallekele
9-Mar-11,India,Netherlands,India,5 wickets,Delhi
10-Mar-11,Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele
11-Mar-11,Ireland,West Indies,West Indies,44 runs,Mohali
11-Mar-11,Bangladesh,England,Bangladesh,2 wickets,Chittagong
12-Mar-11,India,South Africa,South Africa,3 wickets,Nagpur
13-Mar-11,Canada,New Zealand,New Zealand,97 runs,Mumbai
13-Mar-11,Australia,Kenya,Australia,60 runs,Bengaluru
14-Mar-11,Bangladesh,Netherlands,Bangladesh,6 wickets,Chittagong
14-Mar-11,Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele
15-Mar-11,Ireland,South Africa,South Africa,131 runs,Kolkata
16-Mar-11,Australia,Canada,Australia,7 wickets,Bengaluru
17-Mar-11,England,West Indies,England,18 runs,Chennai
18-Mar-11,Ireland,Netherlands,Ireland,6 wickets,Kolkata
18-Mar-11,New Zealand,Sri Lanka,Sri Lanka,112 runs,Mumbai
19-Mar-11,Bangladesh,South Africa,South Africa,206 runs,Dhaka
19-Mar-11,Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS)
20-Mar-11,Kenya,Zimbabwe,Zimbabwe,161 runs,Kolkata
20-Mar-11,India,West Indies,India,80 runs,Chennai
23-Mar-11,Pakistan,West Indies,Pakistan,10 wickets,Dhaka
24-Mar-11,India,Australia,India,5 wickets,Ahmedabad
25-Mar-11,New Zealand,South Africa,New Zealand,49 runs,Dhaka
26-Mar-11,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS)
29-Mar-11,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS)
30-Mar-11,India,Pakistan,India,29 runs,Mohali
2-Apr-11,India,Sri Lanka,India,6 wickets,Mumbai
9-Apr-11,Bangladesh,Australia,Australia,60 runs,Dhaka
11-Apr-11,Bangladesh,Australia,Australia,9 wickets,Dhaka
13-Apr-11,Bangladesh,Australia,Australia,66 runs,Dhaka
23-Apr-11,West Indies,Pakistan,Pakistan,8 wickets,Gros Islet
25-Apr-11,West Indies,Pakistan,Pakistan,7 wickets,Gros Islet
28-Apr-11,West Indies,Pakistan,Pakistan,3 wickets,Bridgetown
2-May-11,West Indies,Pakistan,West Indies,1 run,Bridgetown
5-May-11,West Indies,Pakistan,West Indies,10 wickets,Providence
28-May-11,Ireland,Pakistan,Pakistan,7 wickets,Belfast
30-May-11,Ireland,Pakistan,Pakistan,5 wickets,Belfast
6-Jun-11,West Indies,India,India,4 wickets,Port of Spain
8-Jun-11,West Indies,India,India,7 wickets,Port of Spain
11-Jun-11,West Indies,India,India,3 wickets,North Sound
13-Jun-11,West Indies,India,West Indies,103 runs,North Sound
16-Jun-11,West Indies,India,West Indies,7 wickets,Kingston
28-Jun-11,Scotland,Netherlands,Scotland,15 runs,Aberdeen
28-Jun-11,England,Sri Lanka,England,110 runs,The Oval
29-Jun-11,Scotland,Netherlands,Scotland,5 wickets,Aberdeen
1-Jul-11,England,Sri Lanka,Sri Lanka,69 runs,Leeds
3-Jul-11,England,Sri Lanka,Sri Lanka,6 wickets,Lord's
6-Jul-11,England,Sri Lanka,England,10 wickets,Nottingham
9-Jul-11,England,Sri Lanka,England,16 runs,Manchester
12-Jul-11,Scotland,Ireland,Scotland,5 wickets,Edinburgh
13-Jul-11,Scotland,Sri Lanka,Sri Lanka,183 runs,Edinburgh
7-Aug-11,Canada,Afghanistan,Afghanistan,2 wickets,King City (NW)
9-Aug-11,Canada,Afghanistan,Afghanistan,17 runs,Toronto
10-Aug-11,Sri Lanka,Australia,Australia,7 wickets,Pallekele
12-Aug-11,Zimbabwe,Bangladesh,Zimbabwe,4 wickets,Harare
14-Aug-11,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare
14-Aug-11,Sri Lanka,Australia,Australia,8 wickets,Hambantota
16-Aug-11,Zimbabwe,Bangladesh,Zimbabwe,5 runs,Harare
16-Aug-11,Sri Lanka,Australia,Sri Lanka,78 runs,Hambantota
19-Aug-11,Zimbabwe,Bangladesh,Bangladesh,6 wickets,Bulawayo
20-Aug-11,Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS)
21-Aug-11,Zimbabwe,Bangladesh,Bangladesh,93 runs,Bulawayo
22-Aug-11,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS)
25-Aug-11,Ireland,England,England,11 runs,Dublin
3-Sep-11,England,India,no result,,Chester-le-Street
6-Sep-11,England,India,England,7 wickets,Southampton
8-Sep-11,Zimbabwe,Pakistan,Pakistan,5 runs,Bulawayo
9-Sep-11,England,India,England,3 wickets,The Oval
11-Sep-11,Zimbabwe,Pakistan,Pakistan,10 wickets,Harare
11-Sep-11,England,India,tied,,Lord's
12-Sep-11,Netherlands,Kenya,Netherlands,2 wickets,The Hague
13-Sep-11,Netherlands,Kenya,Netherlands,4 wickets,The Hague
14-Sep-11,Zimbabwe,Pakistan,Pakistan,28 runs,Harare
16-Sep-11,England,India,England,6 wickets,Cardiff
19-Sep-11,Ireland,Canada,Ireland,133 runs,Dublin
20-Sep-11,Ireland,Canada,Ireland,56 runs,Dublin
13-Oct-11,Bangladesh,West Indies,West Indies,40 runs,Dhaka
14-Oct-11,India,England,India,126 runs,Hyderabad (Deccan)
15-Oct-11,Bangladesh,West Indies,West Indies,8 wickets,Dhaka
17-Oct-11,India,England,India,8 wickets,Delhi
18-Oct-11,Bangladesh,West Indies,Bangladesh,8 wickets,Chittagong
19-Oct-11,South Africa,Australia,Australia,93 runs,Centurion
20-Oct-11,Zimbabwe,New Zealand,New Zealand,9 wickets,Harare
20-Oct-11,India,England,India,5 wickets,Mohali
22-Oct-11,Zimbabwe,New Zealand,New Zealand,4 wickets,Harare
23-Oct-11,India,England,India,6 wickets,Mumbai
23-Oct-11,South Africa,Australia,South Africa,80 runs,Port Elizabeth
25-Oct-11,Zimbabwe,New Zealand,Zimbabwe,1 wicket,Bulawayo
25-Oct-11,India,England,India,95 runs,Kolkata
28-Oct-11,South Africa,Australia,Australia,3 wickets,Durban
11-Nov-11,Pakistan,Sri Lanka,Pakistan,8 wickets,Dubai (DSC)
14-Nov-11,Pakistan,Sri Lanka,Sri Lanka,25 runs,Dubai (DSC)
18-Nov-11,Pakistan,Sri Lanka,Pakistan,21 runs,Dubai (DSC)
20-Nov-11,Pakistan,Sri Lanka,Pakistan,26 runs,Sharjah
23-Nov-11,Pakistan,Sri Lanka,Pakistan,3 wickets,Abu Dhabi
29-Nov-11,India,West Indies,India,1 wicket,Cuttack
1-Dec-11,Bangladesh,Pakistan,Pakistan,5 wickets,Dhaka
2-Dec-11,India,West Indies,India,5 wickets,Visakhapatnam
3-Dec-11,Bangladesh,Pakistan,Pakistan,76 runs,Dhaka
5-Dec-11,India,West Indies,West Indies,16 runs,Ahmedabad
6-Dec-11,Bangladesh,Pakistan,Pakistan,58 runs,Chittagong
8-Dec-11,India,West Indies,India,153 runs,Indore
11-Dec-11,India,West Indies,India,34 runs,Chennai
11-Jan-12,South Africa,Sri Lanka,South Africa,258 runs,Paarl
14-Jan-12,South Africa,Sri Lanka,South Africa,5 wickets,East London
17-Jan-12,South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein
20-Jan-12,South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley
22-Jan-12,South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg
3-Feb-12,New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin
5-Feb-12,Australia,India,Australia,65 runs,Melbourne
6-Feb-12,New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei
8-Feb-12,India,Sri Lanka,India,4 wickets,Perth
9-Feb-12,New Zealand,Zimbabwe,New Zealand,202 runs,Napier
10-Feb-12,Australia,Sri Lanka,Australia,5 runs,Perth
10-Feb-12,Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah
12-Feb-12,Australia,India,India,4 wickets,Adelaide
13-Feb-12,England,Pakistan,England,130 runs,Abu Dhabi
14-Feb-12,India,Sri Lanka,tied,,Adelaide
15-Feb-12,England,Pakistan,England,20 runs,Abu Dhabi
17-Feb-12,Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney
18-Feb-12,Kenya,Ireland,Kenya,7 wickets,Mombasa
18-Feb-12,England,Pakistan,England,9 wickets,Dubai (DSC)
19-Feb-12,Australia,India,Australia,110 runs,Brisbane
20-Feb-12,Kenya,Ireland,Ireland,117 runs,Mombasa
21-Feb-12,India,Sri Lanka,Sri Lanka,51 runs,Brisbane
21-Feb-12,England,Pakistan,England,4 wickets,Dubai (DSC)
24-Feb-12,Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart
25-Feb-12,New Zealand,South Africa,South Africa,6 wickets,Wellington
26-Feb-12,Australia,India,Australia,87 runs,Sydney
28-Feb-12,India,Sri Lanka,India,7 wickets,Hobart
29-Feb-12,New Zealand,South Africa,South Africa,6 wickets,Napier
2-Mar-12,Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne
3-Mar-12,New Zealand,South Africa,South Africa,5 wickets,Auckland
4-Mar-12,Australia,Sri Lanka,Australia,15 runs,Brisbane
6-Mar-12,Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide
8-Mar-12,Australia,Sri Lanka,Australia,16 runs,Adelaide
11-Mar-12,Bangladesh,Pakistan,Pakistan,21 runs,Dhaka
13-Mar-12,India,Sri Lanka,India,50 runs,Dhaka
15-Mar-12,Pakistan,Sri Lanka,Pakistan,6 wickets,Dhaka
16-Mar-12,Bangladesh,India,Bangladesh,5 wickets,Dhaka
16-Mar-12,West Indies,Australia,Australia,64 runs,Kingstown
18-Mar-12,India,Pakistan,India,6 wickets,Dhaka
18-Mar-12,West Indies,Australia,West Indies,5 wickets,Kingstown
20-Mar-12,Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka
20-Mar-12,West Indies,Australia,tied,,Kingstown
22-Mar-12,Bangladesh,Pakistan,Pakistan,2 runs,Dhaka
23-Mar-12,West Indies,Australia,West Indies,42 runs,Gros Islet
25-Mar-12,West Indies,Australia,Australia,30 runs,Gros Islet
29-Mar-12,Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah
31-Mar-12,Afghanistan,Netherlands,Afghanistan,5 wickets,Sharjah
7-Jun-12,Sri Lanka,Pakistan,Pakistan,6 wickets,Pallekele
9-Jun-12,Sri Lanka,Pakistan,Sri Lanka,76 runs,Pallekele
13-Jun-12,Sri Lanka,Pakistan,no result,,Colombo (RPS)
16-Jun-12,Sri Lanka,Pakistan,Sri Lanka,44 runs,Colombo (RPS)
16-Jun-12,England,West Indies,England,114 runs,Southampton
18-Jun-12,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS)
19-Jun-12,England,West Indies,England,8 wickets,The Oval
23-Jun-12,Ireland,Australia,no result,,Belfast
29-Jun-12,England,Australia,England,15 runs,Lord's
1-Jul-12,England,Australia,England,6 wickets,The Oval
5-Jul-12,Ireland,Afghanistan,Ireland,59 runs,Dublin
5-Jul-12,West Indies,New Zealand,West Indies,9 wickets,Kingston
7-Jul-12,England,Australia,England,8 wickets,Chester-le-Street
7-Jul-12,West Indies,New Zealand,West Indies,55 runs,Kingston
10-Jul-12,England,Australia,England,7 wickets,Manchester
"Jul 11-12, 2012",Scotland,Canada,Scotland,4 wickets,Ayr
11-Jul-12,West Indies,New Zealand,New Zealand,88 runs,Basseterre
14-Jul-12,West Indies,New Zealand,West Indies,24 runs,Basseterre
16-Jul-12,West Indies,New Zealand,West Indies,20 runs,Basseterre
21-Jul-12,Sri Lanka,India,India,21 runs,Hambantota
24-Jul-12,Sri Lanka,India,Sri Lanka,9 wickets,Hambantota
28-Jul-12,Sri Lanka,India,India,5 wickets,Colombo (RPS)
31-Jul-12,Sri Lanka,India,India,6 wickets,Colombo (RPS)
4-Aug-12,Sri Lanka,India,India,20 runs,Pallekele
24-Aug-12,England,South Africa,no result,,Cardiff
25-Aug-12,Afghanistan,Australia,Australia,66 runs,Sharjah
28-Aug-12,England,South Africa,South Africa,80 runs,Southampton
28-Aug-12,Australia,Pakistan,Australia,4 wickets,Sharjah
31-Aug-12,England,South Africa,England,4 wickets,The Oval
31-Aug-12,Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi
2-Sep-12,England,South Africa,England,6 wickets,Lord's
3-Sep-12,Australia,Pakistan,Australia,3 wickets,Sharjah
5-Sep-12,England,South Africa,South Africa,7 wickets,Nottingham
4-Nov-12,Sri Lanka,New Zealand,Sri Lanka,14 runs,Pallekele
6-Nov-12,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Pallekele
10-Nov-12,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Hambantota
12-Nov-12,Sri Lanka,New Zealand,no result,,Hambantota
30-Nov-12,Bangladesh,West Indies,Bangladesh,7 wickets,Khulna
2-Dec-12,Bangladesh,West Indies,Bangladesh,160 runs,Khulna
5-Dec-12,Bangladesh,West Indies,West Indies,4 wickets,Dhaka
7-Dec-12,Bangladesh,West Indies,West Indies,75 runs,Dhaka
8-Dec-12,Bangladesh,West Indies,Bangladesh,2 wickets,Dhaka
30-Dec-12,India,Pakistan,Pakistan,6 wickets,Chennai
3-Jan-13,India,Pakistan,Pakistan,85 runs,Kolkata
6-Jan-13,India,Pakistan,India,10 runs,Delhi
11-Jan-13,Australia,Sri Lanka,Australia,107 runs,Melbourne
11-Jan-13,India,England,England,9 runs,Rajkot
13-Jan-13,Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide
15-Jan-13,India,England,India,127 runs,Kochi
18-Jan-13,Australia,Sri Lanka,Sri Lanka,4 wickets,Brisbane
19-Jan-13,India,England,India,7 wickets,Ranchi
19-Jan-13,South Africa,New Zealand,New Zealand,1 wicket,Paarl
20-Jan-13,Australia,Sri Lanka,no result,,Sydney
22-Jan-13,South Africa,New Zealand,New Zealand,27 runs,Kimberley
23-Jan-13,Australia,Sri Lanka,Australia,32 runs,Hobart
23-Jan-13,India,England,India,5 wickets,Mohali
25-Jan-13,South Africa,New Zealand,South Africa,1 wicket,Potchefstroom
27-Jan-13,India,England,England,7 wickets,Dharamsala
1-Feb-13,Australia,West Indies,Australia,9 wickets,Perth
3-Feb-13,Australia,West Indies,Australia,54 runs,Perth
6-Feb-13,Australia,West Indies,Australia,39 runs,Canberra
8-Feb-13,Australia,West Indies,Australia,5 wickets,Sydney
10-Feb-13,Australia,West Indies,Australia,17 runs,Melbourne
17-Feb-13,New Zealand,England,New Zealand,3 wickets,Hamilton
20-Feb-13,New Zealand,England,England,8 wickets,Napier
22-Feb-13,West Indies,Zimbabwe,West Indies,156 runs,St George's
23-Feb-13,New Zealand,England,England,5 wickets,Auckland
